date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-09-14,Ashland Bottoms KSU 2016 Season Range 20 Pass 24,39.1395645203194,-96.63120789691921,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",89.0,PI329338,20,24,1421.0
2016-09-14,Ashland Bottoms KSU 2016 Season Range 31 Pass 22,39.1399568355866,-96.63128367247221,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",89.0,PI329466,31,22,1421.0
2016-09-15,Ashland Bottoms KSU 2016 Season Range 14 Pass 9,39.139353968761895,-96.63173505266079,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",90.0,PI229841,14,9,1435.0
2016-09-15,Ashland Bottoms KSU 2016 Season Range 31 Pass 10,39.139960224091894,-96.63170665636709,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",90.0,PI329699,31,10,1435.0
2016-09-17,Ashland Bottoms KSU 2016 Season Range 22 Pass 21,39.139636536193,-96.6313154358385,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",92.0,PI569097,22,21,1456.0
2016-09-17,Ashland Bottoms KSU 2016 Season Range 18 Pass 19,39.139493572312496,-96.6313839397178,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",92.0,PI273969,18,19,1456.0
2016-09-19,Ashland Bottoms KSU 2016 Season Range 20 Pass 20,39.13956562570289,-96.6313499358868,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",94.0,PI643016,20,20,1486.0
2016-09-19,Ashland Bottoms KSU 2016 Season Range 18 Pass 8,39.1394965860617,-96.6317723238137,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",94.0,PI641909,18,8,1486.0
2016-09-19,Ashland Bottoms KSU 2016 Season Range 13 Pass 24,39.1393140668535,-96.6312048905317,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",94.0,PI152966,13,24,1486.0
2016-09-19,Ashland Bottoms KSU 2016 Season Range 26 Pass 26,39.1397779561743,-96.6311401427855,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",94.0,PI641909,26,26,1486.0
