date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 12,27,12,Sorghum bicolor,PI585461,tall,Whole above ground biomass at harvest,10600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 4,29,4,Sorghum bicolor,PI303658,tall,Whole above ground biomass at harvest,8040,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 13,29,13,Sorghum bicolor,PI570091,tall,Whole above ground biomass at harvest,10800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 11,31,11,Sorghum bicolor,PI329710,tall,Whole above ground biomass at harvest,11300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 32 Column 7,32,7,Sorghum bicolor,PI196598,tall,Whole above ground biomass at harvest,13900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 2,34,2,Sorghum bicolor,PI506030,tall,Whole above ground biomass at harvest,6490,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 6,34,6,Sorghum bicolor,PI586435,tall,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 10,34,10,Sorghum bicolor,PI569419,tall,Whole above ground biomass at harvest,10300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 5,35,5,Sorghum bicolor,PI651495,tall,Whole above ground biomass at harvest,15500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 13,35,13,Sorghum bicolor,PI156178,tall,Whole above ground biomass at harvest,16000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 2,36,2,Sorghum bicolor,PI641807,tall,Whole above ground biomass at harvest,11400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 4,39,4,Sorghum bicolor,PI330195,tall,Whole above ground biomass at harvest,7200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 6,39,6,Sorghum bicolor,PI167093,tall,Whole above ground biomass at harvest,13100,kg/ha,manual
